epoch: 179, Seg_Loss: 0.151, Overall_Acc: 0.998, Mean_IOU: 0.775, Class_0: 0.999, Class_1: 0.702 
epoch: 180, Seg_Loss: 0.151, Overall_Acc: 0.998, Mean_IOU: 0.773, Class_0: 0.999, Class_1: 0.702 
epoch: 181, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.768, Class_0: 0.999, Class_1: 0.690 
epoch: 182, Seg_Loss: 0.149, Overall_Acc: 0.998, Mean_IOU: 0.777, Class_0: 0.999, Class_1: 0.705 
epoch: 183, Seg_Loss: 0.151, Overall_Acc: 0.998, Mean_IOU: 0.775, Class_0: 0.999, Class_1: 0.702 
epoch: 184, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.781, Class_0: 0.999, Class_1: 0.713 
epoch: 185, Seg_Loss: 0.147, Overall_Acc: 0.998, Mean_IOU: 0.779, Class_0: 0.999, Class_1: 0.710 
epoch: 186, Seg_Loss: 0.146, Overall_Acc: 0.998, Mean_IOU: 0.779, Class_0: 0.999, Class_1: 0.711 
epoch: 187, Seg_Loss: 0.164, Overall_Acc: 0.998, Mean_IOU: 0.760, Class_0: 0.999, Class_1: 0.675 
epoch: 188, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.772, Class_0: 0.999, Class_1: 0.701 
epoch: 189, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.775, Class_0: 0.999, Class_1: 0.699 
epoch: 190, Seg_Loss: 0.163, Overall_Acc: 0.997, Mean_IOU: 0.759, Class_0: 0.999, Class_1: 0.679 
epoch: 191, Seg_Loss: 0.147, Overall_Acc: 0.998, Mean_IOU: 0.780, Class_0: 0.999, Class_1: 0.711 
epoch: 192, Seg_Loss: 0.161, Overall_Acc: 0.997, Mean_IOU: 0.761, Class_0: 0.999, Class_1: 0.682 
epoch: 193, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.781, Class_0: 0.999, Class_1: 0.714 
epoch: 194, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.782, Class_0: 0.999, Class_1: 0.714 
epoch: 195, Seg_Loss: 0.157, Overall_Acc: 0.998, Mean_IOU: 0.765, Class_0: 0.999, Class_1: 0.689 
epoch: 196, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.773, Class_0: 0.999, Class_1: 0.699 
epoch: 197, Seg_Loss: 0.153, Overall_Acc: 0.998, Mean_IOU: 0.772, Class_0: 0.999, Class_1: 0.698 
epoch: 198, Seg_Loss: 0.140, Overall_Acc: 0.998, Mean_IOU: 0.786, Class_0: 0.999, Class_1: 0.723 
epoch: 199, Seg_Loss: 0.144, Overall_Acc: 0.998, Mean_IOU: 0.781, Class_0: 0.999, Class_1: 0.715 
epoch: 200, Seg_Loss: 0.166, Overall_Acc: 0.998, Mean_IOU: 0.757, Class_0: 0.999, Class_1: 0.671 
epoch: 201, Seg_Loss: 0.146, Overall_Acc: 0.998, Mean_IOU: 0.778, Class_0: 0.999, Class_1: 0.713 
epoch: 202, Seg_Loss: 0.142, Overall_Acc: 0.998, Mean_IOU: 0.785, Class_0: 0.999, Class_1: 0.720 
epoch: 203, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.771, Class_0: 0.999, Class_1: 0.699 
epoch: 204, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.780, Class_0: 0.999, Class_1: 0.712 
epoch: 205, Seg_Loss: 0.145, Overall_Acc: 0.998, Mean_IOU: 0.782, Class_0: 0.999, Class_1: 0.714 
epoch: 206, Seg_Loss: 0.152, Overall_Acc: 0.998, Mean_IOU: 0.774, Class_0: 0.999, Class_1: 0.699 
epoch: 207, Seg_Loss: 0.144, Overall_Acc: 0.998, Mean_IOU: 0.781, Class_0: 0.999, Class_1: 0.714 
